            Company,                Ticker,                Reporting Period,                                                Revenues,                                                        Cost of Revenue as % of Revenues(%),                                                        Gross Profit (Loss),                                                        Gross Profit Margin(%),                                                        Earnings Per Share Basic,                                        
                                            Pfizer Inc,                    pfe,                                            2010,                                                     65165000000,                                                         0.23<br>%,                                                             50377000000,                                                         0.77<br>%,                                                             1.03,                                        
                                                    Pfizer Inc,                    pfe,                                            2011,                                                     61035000000,                                                         0.2<br>%,                                                             48535000000,                                                         0.8<br>%,                                                             1.28,                                        
                                                    Pfizer Inc,                    pfe,                                            2012,                                                     54657000000,                                                         0.18<br>%,                                                             44836000000,                                                         0.82<br>%,                                                             1.96,                                        
                                                    Pfizer Inc,                    pfe,                                            2013,                                                     51584000000,                                                         0.19<br>%,                                                             41998000000,                                                         0.81<br>%,                                                             3.23,                                        
                                                    Pfizer Inc,                    pfe,                                            2014,                                                     49605000000,                                                         0.19<br>%,                                                             40028000000,                                                         0.81<br>%,                                                             1.44,                                        
                                                    Microsoft Corp,                    msft,                                            2010,                                                     62484000000,                                                         0.2<br>%,                                                             50089000000,                                                         0.8<br>%,                                                             2.13,                                        
                                                    Microsoft Corp,                    msft,                                            2011,                                                     69943000000,                                                         0.22<br>%,                                                             54366000000,                                                         0.78<br>%,                                                             2.73,                                        
                                                    Microsoft Corp,                    msft,                                            2012,                                                     73723000000,                                                         0.24<br>%,                                                             56193000000,                                                         0.76<br>%,                                                             2.02,                                        
                                                    Microsoft Corp,                    msft,                                            2013,                                                     77849000000,                                                         0.26<br>%,                                                             57464000000,                                                         0.74<br>%,                                                             2.61,                                        
                                                    Microsoft Corp,                    msft,                                            2014,                                                     86833000000,                                                         0.31<br>%,                                                             59755000000,                                                         0.69<br>%,                                                             2.66,                                        
                        
